0m 0s   0,880
0m 0s  10,880
0m 0s  20,881
0m 0s  30,882
0m 0s  40,882
0m 0s  50,881
0m 0s  60,883
0m 0s  70,884
0m 0s  80,884
0m 0s  90,886
0m 0s 100,886
0m 0s 110,884
0m 0s 120,881
0m 0s 130,880
0m 0s 140,880
0m 0s 150,882
0m 0s 160,884
0m 0s 170,886
0m 0s 180,887
0m 0s 190,886
0m 0s 200,886
0m 0s 210,885
0m 0s 220,884
0m 0s 230,884
0m 0s 240,885
0m 0s 250,886
0m 0s 260,883
0m 0s 270,881
0m 0s 280,882
0m 0s 290,881
0m 0s 300,880
0m 0s 310,883
0m 0s 320,886
0m 0s 330,887
0m 0s 340,885
0m 0s 350,883
0m 0s 360,882
0m 0s 370,881
0m 0s 380,880
0m 0s 390,882
0m 0s 400,884
0m 0s 410,884
0m 0s 420,885
0m 0s 430,885
0m 0s 440,884
0m 0s 450,884
0m 0s 460,885
0m 0s 470,886
0m 0s 480,885
0m 0s 490,884
0m 0s 500,885
0m 0s 510,885
0m 0s 520,886
0m 0s 530,887
0m 0s 540,888
0m 0s 550,887
0m 0s 560,886
0m 0s 570,885
0m 0s 580,882
0m 0s 590,880
0m 0s 600,880
0m 0s 610,879
0m 0s 620,878
0m 0s 630,880
0m 0s 640,881
0m 0s 650,882
0m 0s 660,882
0m 0s 670,882
0m 0s 680,883
0m 0s 690,883
0m 0s 700,883
0m 0s 710,884
0m 0s 720,884
0m 0s 730,882
0m 0s 740,881
0m 0s 750,881
0m 0s 760,881
0m 0s 770,882
0m 0s 780,883
0m 0s 790,884
0m 0s 800,885
0m 0s 810,886
0m 0s 820,886
0m 0s 830,885
0m 0s 840,885
0m 0s 850,884
0m 0s 860,883
0m 0s 870,883
0m 0s 880,882
0m 0s 890,881
0m 0s 900,880
0m 0s 910,880
0m 0s 920,881
0m 0s 930,882
0m 0s 940,882
0m 0s 950,881
0m 0s 960,882
0m 0s 970,882
0m 0s 980,881
0m 0s 990,882
0m 1s   0,882
0m 1s  10,881
0m 1s  20,881
0m 1s  30,882
0m 1s  40,882
0m 1s  50,883
0m 1s  60,882
0m 1s  70,881
0m 1s  80,880
0m 1s  90,880
0m 1s 100,879
0m 1s 110,879
0m 1s 120,880
0m 1s 130,880
0m 1s 140,878
0m 1s 150,877
0m 1s 160,877
0m 1s 170,876
0m 1s 180,877
0m 1s 190,879
0m 1s 200,880
0m 1s 210,881
0m 1s 220,883
0m 1s 230,883
0m 1s 240,884
0m 1s 250,886
0m 1s 260,888
0m 1s 270,887
0m 1s 280,885
0m 1s 290,883
0m 1s 300,882
0m 1s 310,882
0m 1s 320,882
0m 1s 330,882
0m 1s 340,882
0m 1s 350,881
0m 1s 360,879
0m 1s 370,878
0m 1s 380,880
0m 1s 390,882
0m 1s 400,883
0m 1s 410,884
0m 1s 420,885
0m 1s 430,883
0m 1s 440,882
0m 1s 450,882
0m 1s 460,882
0m 1s 470,882
0m 1s 480,880
0m 1s 490,879
0m 1s 500,880
0m 1s 510,881
0m 1s 520,881
0m 1s 530,882
0m 1s 540,883
0m 1s 550,882
0m 1s 560,880
0m 1s 570,879
0m 1s 580,879
0m 1s 590,880
0m 1s 600,880
0m 1s 610,880
0m 1s 620,880
0m 1s 630,878
0m 1s 640,879
0m 1s 650,879
0m 1s 660,879
0m 1s 670,880
0m 1s 680,881
0m 1s 690,880
0m 1s 700,880
0m 1s 710,880
0m 1s 720,880
0m 1s 730,880
0m 1s 740,882
0m 1s 750,884
0m 1s 760,884
0m 1s 770,884
0m 1s 780,885
0m 1s 790,883
0m 1s 800,882
0m 1s 810,883
0m 1s 820,881
0m 1s 830,880
0m 1s 840,880
0m 1s 850,880
0m 1s 860,878
0m 1s 870,879
0m 1s 880,880
0m 1s 890,880
0m 1s 900,880
0m 1s 910,880
0m 1s 920,880
0m 1s 930,880
0m 1s 940,879
0m 1s 950,879
0m 1s 960,880
0m 1s 970,881
0m 1s 980,881
0m 1s 990,881
0m 2s   0,881
0m 2s  10,881
0m 2s  20,881
0m 2s  30,883
0m 2s  40,883
0m 2s  50,883
0m 2s  60,882
0m 2s  70,879
0m 2s  80,880
0m 2s  90,881
0m 2s 100,881
0m 2s 110,881
0m 2s 120,881
0m 2s 130,879
0m 2s 140,878
0m 2s 150,880
0m 2s 160,881
0m 2s 170,882
0m 2s 180,883
0m 2s 190,883
0m 2s 200,881
0m 2s 210,880
0m 2s 220,879
0m 2s 230,877
0m 2s 240,877
0m 2s 250,878
0m 2s 260,878
0m 2s 270,878
0m 2s 280,882
0m 2s 290,884
0m 2s 300,882
0m 2s 310,882
0m 2s 320,884
0m 2s 330,884
0m 2s 340,883
0m 2s 350,885
0m 2s 360,888
0m 2s 370,889
0m 2s 380,886
0m 2s 390,884
0m 2s 400,882
0m 2s 410,879
0m 2s 420,878
0m 2s 430,879
0m 2s 440,881
0m 2s 450,882
0m 2s 460,882
0m 2s 470,880
0m 2s 480,880
0m 2s 490,880
0m 2s 500,879
0m 2s 510,880
0m 2s 520,882
0m 2s 530,882
0m 2s 540,882
0m 2s 550,883
0m 2s 560,884
0m 2s 570,885
0m 2s 580,884
0m 2s 590,885
0m 2s 600,885
0m 2s 610,883
0m 2s 620,883
0m 2s 630,883
0m 2s 640,883
0m 2s 650,883
0m 2s 660,882
0m 2s 670,881
0m 2s 680,881
0m 2s 690,881
0m 2s 700,881
0m 2s 710,881
0m 2s 720,882
0m 2s 730,881
0m 2s 740,882
0m 2s 750,883
0m 2s 760,883
0m 2s 770,883
0m 2s 780,881
0m 2s 790,879
0m 2s 800,878
0m 2s 810,878
0m 2s 820,877
0m 2s 830,878
0m 2s 840,881
0m 2s 850,883
0m 2s 860,882
0m 2s 870,882
0m 2s 880,884
0m 2s 890,883
0m 2s 900,881
0m 2s 910,883
0m 2s 920,885
0m 2s 930,886
0m 2s 940,886
0m 2s 950,884
0m 2s 960,884
0m 2s 970,883
0m 2s 980,880
0m 2s 990,879
0m 3s   0,881
0m 3s  10,882
0m 3s  20,882
0m 3s  30,885
0m 3s  40,885
0m 3s  50,884
0m 3s  60,883
0m 3s  70,883
0m 3s  80,882
0m 3s  90,884
0m 3s 100,887
0m 3s 110,888
0m 3s 120,887
0m 3s 130,886
0m 3s 140,885
0m 3s 150,884
0m 3s 160,881
0m 3s 170,879
0m 3s 180,879
0m 3s 190,879
0m 3s 200,879
0m 3s 210,881
0m 3s 220,883
0m 3s 230,885
0m 3s 240,887
0m 3s 250,887
0m 3s 260,888
0m 3s 270,889
0m 3s 280,889
0m 3s 290,889
0m 3s 300,888
0m 3s 310,886
0m 3s 320,884
0m 3s 330,882
0m 3s 340,882
0m 3s 350,883
0m 3s 360,883
0m 3s 370,884
0m 3s 380,885
0m 3s 390,884
0m 3s 400,881
0m 3s 410,880
0m 3s 420,881
0m 3s 430,882
0m 3s 440,884
0m 3s 450,886
0m 3s 460,889
0m 3s 470,890
0m 3s 480,888
0m 3s 490,886
0m 3s 500,886
0m 3s 510,886
0m 3s 520,884
0m 3s 530,885
0m 3s 540,886
0m 3s 550,884
0m 3s 560,883
0m 3s 570,883
0m 3s 580,884
0m 3s 590,885
0m 3s 600,885
0m 3s 610,885
0m 3s 620,886
0m 3s 630,885
0m 3s 640,885
0m 3s 650,885
0m 3s 660,885
0m 3s 670,885
0m 3s 680,886
0m 3s 690,887
0m 3s 700,888
0m 3s 710,889
0m 3s 720,889
0m 3s 730,887
0m 3s 740,886
0m 3s 750,886
0m 3s 760,884
0m 3s 770,885
0m 3s 780,883
0m 3s 790,881
0m 3s 800,880
0m 3s 810,880
0m 3s 820,881
0m 3s 830,884
0m 3s 840,884
0m 3s 850,884
0m 3s 860,884
0m 3s 870,882
0m 3s 880,881
0m 3s 890,881
0m 3s 900,882
0m 3s 910,882
0m 3s 920,882
0m 3s 930,881
0m 3s 940,882
0m 3s 950,883
0m 3s 960,882
0m 3s 970,881
0m 3s 980,881
0m 3s 990,880
0m 4s   0,878
0m 4s  10,878
0m 4s  20,881
0m 4s  30,882
0m 4s  40,881
0m 4s  50,880
0m 4s  60,881
0m 4s  70,880
0m 4s  80,880
0m 4s  90,882
0m 4s 100,883
0m 4s 110,882
0m 4s 120,881
0m 4s 130,879
0m 4s 140,879
0m 4s 150,879
0m 4s 160,879
0m 4s 170,879
0m 4s 180,881
0m 4s 190,881
0m 4s 200,880
0m 4s 210,880
0m 4s 220,879
0m 4s 230,878
0m 4s 240,878
0m 4s 250,879
0m 4s 260,881
0m 4s 270,884
0m 4s 280,886
0m 4s 290,887
0m 4s 300,886
0m 4s 310,885
0m 4s 320,883
0m 4s 330,882
0m 4s 340,883
0m 4s 350,885
0m 4s 360,884
0m 4s 370,884
0m 4s 380,884
0m 4s 390,882
0m 4s 400,880
0m 4s 410,880
0m 4s 420,881
0m 4s 430,881
0m 4s 440,881
0m 4s 450,881
0m 4s 460,881
0m 4s 470,881
0m 4s 480,882
0m 4s 490,882
0m 4s 500,881
0m 4s 510,880
0m 4s 520,879
0m 4s 530,879
0m 4s 540,878
0m 4s 550,879
0m 4s 560,881
0m 4s 570,883
0m 4s 580,883
0m 4s 590,884
0m 4s 600,884
0m 4s 610,883
0m 4s 620,881
0m 4s 630,881
0m 4s 640,880
0m 4s 650,879
0m 4s 660,881
0m 4s 670,883
0m 4s 680,883
0m 4s 690,884
0m 4s 700,885
0m 4s 710,885
0m 4s 720,883
0m 4s 730,882
0m 4s 740,882
0m 4s 750,882
0m 4s 760,883
0m 4s 770,885
0m 4s 780,886
0m 4s 790,887
0m 4s 800,886
0m 4s 810,883
0m 4s 820,883
0m 4s 830,885
0m 4s 840,884
0m 4s 850,885
0m 4s 860,886
0m 4s 870,885
0m 4s 880,882
0m 4s 890,881
0m 4s 900,881
0m 4s 910,882
0m 4s 920,881
0m 4s 930,881
0m 4s 940,881
0m 4s 950,879
0m 4s 960,880
0m 4s 970,881
0m 4s 980,883
0m 4s 990,885
0m 5s   0,886
0m 5s  10,886
0m 5s  20,884
